countyname,state,numberofplans1,numberofplans2,countyssa,eligibles,totalenrollees,totalpenetration
UNDER-11 ,  ,56,0,43xxx ,0,65460,0
Unusual SCounty Code ,99,40,0,99zzz ,416345,2145,.51519775
ANCHORAGE ,AK ,0,0,2020,22404,0,0
DENALI ,AK ,0,0,2068,0,0,0
FAIRBANKS NORTH STAR ,AK ,0,0,2090,5881,0,0
JUNEAU ,AK ,0,0,2110,3245,0,0
KENAI PENINSULA ,AK ,0,0,2122,0,0,0
KETCHIKAN GATEWAY ,AK ,0,0,2130,1537,0,0
KODIAK ISLAND ,AK ,0,0,2150,459,0,0
MATANUSKA SUSITNA ,AK ,0,0,2170,6071,0,0
PRINCE WALES KETCHIK ,AK ,0,0,2201,0,0,0
SITKA BOROUGH ,AK ,0,0,2220,961,0,0
VALDEZ CORDOVA ,AK ,0,0,2261,0,0,0
WRANGELL PETERSBURG ,AK ,0,0,2280,784,0,0
YUKON KOYUKUK ,AK ,0,0,2290,486,0,0
AUTAUGA ,AL ,4,2,1000,6883,529,7.6856022
BALDWIN ,AL ,5,2,1010,30437,2713,8.9134932
BARBOUR ,AL ,1,1,1020,4698,102,2.1711366
BIBB ,AL ,3,3,1030,3840,590,15.364583
BLOUNT ,AL ,5,3,1040,7191,1998,27.784731
BULLOCK ,AL ,1,1,1050,1880,32,1.7021277
BUTLER ,AL ,1,0,1060,4228,21,.49668875
CALHOUN ,AL ,1,1,1070,23224,841,3.621254
CHAMBERS ,AL ,0,0,1080,7380,0,0
CHEROKEE ,AL ,1,1,1090,4477,28,.62541878
CHILTON ,AL ,4,2,1100,6287,1447,23.015747
CHOCTAW ,AL ,0,0,1110,3185,0,0
CLARKE ,AL ,0,0,1120,5492,0,0
CLAY ,AL ,1,1,1130,3007,64,2.1283672
CLEBURNE ,AL ,1,1,1140,2752,73,2.6526163
COFFEE ,AL ,0,0,1150,8093,0,0
COLBERT ,AL ,0,0,1160,11375,0,0
CONECUH ,AL ,1,1,1170,2865,272,9.4938917
COOSA ,AL ,1,1,1180,2392,134,5.6020069
COVINGTON ,AL ,0,0,1190,8425,0,0
CRENSHAW ,AL ,1,1,1200,2996,17,.56742322
CULLMAN ,AL ,2,1,1210,14850,640,4.3097644
DALE ,AL ,0,0,1220,10774,0,0
DALLAS ,AL ,1,1,1230,9372,967,10.317968
DE KALB ,AL ,1,0,1240,11741,25,.21292906
ELMORE ,AL ,4,3,1250,11205,919,8.2016954
ESCAMBIA ,AL ,1,1,1260,6952,36,.51783657
ETOWAH ,AL ,3,1,1270,20865,133,.63743109
FAYETTE ,AL ,2,2,1280,3535,54,1.5275813
FRANKLIN ,AL ,0,0,1290,6525,0,0
GENEVA ,AL ,0,0,1300,5672,0,0
GREENE ,AL ,0,0,1310,1906,0,0
HALE ,AL ,0,0,1320,3513,0,0
HENRY ,AL ,1,1,1330,3421,18,.52616197
HOUSTON ,AL ,0,0,1340,13972,0,0
JACKSON ,AL ,0,0,1350,10670,0,0
JEFFERSON ,AL ,8,4,1360,117060,32918,28.120623
LAMAR ,AL ,1,1,1370,3583,33,.92101592
LAUDERDALE ,AL ,0,0,1380,17812,0,0
LAWRENCE ,AL ,0,0,1390,5013,0,0
LEE ,AL ,1,1,1400,12988,81,.62365258
LIMESTONE ,AL ,0,0,1410,9879,0,0
LOWNDES ,AL ,3,3,1420,1975,317,16.050632
MACON ,AL ,1,1,1430,3898,307,7.875834
MADISON ,AL ,5,0,1440,43086,123,.28547555
MARENGO ,AL ,0,0,1450,3928,0,0
MARION ,AL ,2,2,1460,6356,228,3.5871618
MARSHALL ,AL ,0,0,1470,17198,0,0
MOBILE ,AL ,7,2,1480,64016,15302,23.903399
MONROE ,AL ,1,1,1490,4160,49,1.1778846
MONTGOMERY ,AL ,6,3,1500,33936,3241,9.5503302
MORGAN ,AL ,1,0,1510,20178,42,.20814748
PERRY ,AL ,1,1,1520,2128,41,1.9266918
PICKENS ,AL ,0,0,1530,4361,0,0
PIKE ,AL ,1,0,1540,5433,13,.23927848
RANDOLPH ,AL ,1,0,1550,4494,15,.33377838
RUSSELL ,AL ,2,2,1560,9324,232,2.4882026
SAINT CLAIR ,AL ,5,3,1570,9931,2687,27.05669
SHELBY ,AL ,7,4,1580,15180,4486,29.552042
SUMTER ,AL ,0,0,1590,2768,0,0
TALLADEGA ,AL ,1,1,1600,15674,1887,12.039045
TALLAPOOSA ,AL ,0,0,1610,8283,0,0
TUSCALOOSA ,AL ,6,0,1620,25499,210,.82356173
WALKER ,AL ,5,3,1630,16145,2545,15.763394
WASHINGTON ,AL ,2,1,1640,3320,236,7.1084337
WILCOX ,AL ,1,1,1650,2692,213,7.912333
WINSTON ,AL ,3,1,1660,5223,239,4.5759144
ARKANSAS ,AR ,0,0,4000,3965,0,0
ASHLEY ,AR ,0,0,4010,4394,0,0
BAXTER ,AR ,1,0,4020,12605,38,.30146766
BENTON ,AR ,4,1,4030,26899,477,1.7733002
BOONE ,AR ,2,0,4040,8323,51,.61275983
BRADLEY ,AR ,0,0,4050,2468,0,0
CALHOUN ,AR ,0,0,4060,933,0,0
CARROLL ,AR ,1,0,4070,5019,21,.41841003
CHICOT ,AR ,0,0,4080,2727,0,0
CLARK ,AR ,2,0,4090,4190,28,.66825777
CLAY ,AR ,0,0,4100,4091,0,0
CLEBURNE ,AR ,0,0,4110,6348,0,0
CLEVELAND ,AR ,0,0,4120,1568,0,0
COLUMBIA ,AR ,0,0,4130,5095,0,0
CONWAY ,AR ,0,0,4140,5052,0,0
CRAIGHEAD ,AR ,0,0,4150,13327,0,0
CRAWFORD ,AR ,3,1,4160,9754,149,1.5275785
CRITTENDEN ,AR ,1,0,4170,6911,23,.33280277
CROSS ,AR ,0,0,4180,3261,0,0
DESHA ,AR ,1,0,4200,2614,12,.45906657
DREW ,AR ,0,0,4210,2879,0,0
FAULKNER ,AR ,1,0,4220,12090,45,.37220845
FRANKLIN ,AR ,4,2,4230,3528,70,1.9841269
FULTON ,AR ,0,0,4240,3167,0,0
GARLAND ,AR ,1,0,4250,25148,14,.055670433
GRANT ,AR ,0,0,4260,2631,0,0
GREENE ,AR ,0,0,4270,7163,0,0
HEMPSTEAD ,AR ,0,0,4280,3694,0,0
HOT SPRING ,AR ,0,0,4290,5788,0,0
HOWARD ,AR ,0,0,4300,2735,0,0
INDEPENDENCE ,AR ,0,0,4310,6915,0,0
IZARD ,AR ,0,0,4320,3479,0,0
JACKSON ,AR ,0,0,4330,4356,0,0
JEFFERSON ,AR ,1,1,4340,13337,85,.63732475
JOHNSON ,AR ,2,1,4350,4404,47,1.0672116
LAWRENCE ,AR ,0,0,4370,4285,0,0
LEE ,AR ,0,0,4380,1947,0,0
LITTLE RIVER ,AR ,0,0,4400,2587,0,0
LOGAN ,AR ,2,1,4410,4846,37,.76351631
LONOKE ,AR ,1,0,4420,8176,25,.30577299
MADISON ,AR ,0,0,4430,2881,0,0
MARION ,AR ,1,1,4440,3878,42,1.0830325
MILLER ,AR ,0,0,4450,7181,0,0
MISSISSIPPI ,AR ,0,0,4460,8100,0,0
MONROE ,AR ,0,0,4470,1983,0,0
MONTGOMERY ,AR ,0,0,4480,1970,0,0
NEVADA ,AR ,0,0,4490,1937,0,0
NEWTON ,AR ,0,0,4500,1830,0,0
OUACHITA ,AR ,1,0,4510,6002,26,.43318895
PERRY ,AR ,0,0,4520,2111,0,0
PHILLIPS ,AR ,1,0,4530,4565,23,.50383353
PIKE ,AR ,0,0,4540,2225,0,0
POINSETT ,AR ,0,0,4550,5027,0,0
POLK ,AR ,0,0,4560,4512,0,0
POPE ,AR ,0,0,4570,9403,0,0
PRAIRIE ,AR ,0,0,4580,1778,0,0
PULASKI ,AR ,3,1,4590,57563,367,.63756233
RANDOLPH ,AR ,0,0,4600,3872,0,0
SAINT FRANCIS ,AR ,1,0,4610,4775,22,.460733
SALINE ,AR ,1,1,4620,10103,57,.56418884
SCOTT ,AR ,0,0,4630,2455,0,0
SEARCY ,AR ,0,0,4640,2177,0,0
SEBASTIAN ,AR ,6,1,4650,19394,334,1.7221822
SEVIER ,AR ,0,0,4660,2514,0,0
SHARP ,AR ,1,0,4670,5158,13,.25203568
STONE ,AR ,0,0,4680,3007,0,0
UNION ,AR ,0,0,4690,9010,0,0
VAN BUREN ,AR ,1,0,4700,4313,13,.30141434
WASHINGTON ,AR ,4,1,4710,22504,248,1.1020263
WHITE ,AR ,1,0,4720,13100,39,.29770991
WOODRUFF ,AR ,0,0,4730,1739,0,0
YELL ,AR ,0,0,4740,4325,0,0
AMERICAN SOMOA ,AS ,0,0,ASzzz ,3259,0,0
APACHE ,AZ ,2,1,3000,8096,64,.79051381
COCHISE ,AZ ,8,5,3010,22303,2164,9.7027302
COCONINO ,AZ ,4,1,3020,15983,277,1.7330914
GILA ,AZ ,7,4,3030,12673,653,5.1526866
GRAHAM ,AZ ,4,3,3040,4836,314,6.4929695
GREENLEE ,AZ ,1,1,3050,1147,31,2.7027028
LA PAZ ,AZ ,5,2,3055,4328,140,3.2347505
MARICOPA ,AZ ,43,6,3060,436805,152826,34.987236
MOHAVE ,AZ ,19,4,3070,42708,2627,6.1510725
NAVAJO ,AZ ,7,2,3080,14607,482,3.2997878
PIMA ,AZ ,14,4,3090,149289,51219,34.308624
PINAL ,AZ ,12,4,3100,31920,9856,30.877193
SANTA CRUZ ,AZ ,5,3,3110,5886,1672,28.406387
YAVAPAI ,AZ ,14,1,3120,44858,1993,4.4429088
YUMA ,AZ ,12,1,3130,23200,1473,6.3491378
ALAMEDA ,CA ,13,4,5000,170559,63654,37.320808
ALPINE ,CA ,0,0,5010,149,0,0
AMADOR ,CA ,3,1,5020,7786,1068,13.716928
BUTTE ,CA ,5,1,5030,39395,629,1.5966493
CALAVERAS ,CA ,4,2,5040,9231,681,7.3773155
COLUSA ,CA ,1,1,5050,3115,41,1.3162118
CONTRA COSTA ,CA ,11,5,5060,131990,54909,41.60088
DEL NORTE ,CA ,1,0,5070,4940,21,.42510122
EL DORADO ,CA ,5,1,5080,27194,6125,22.523352
FRESNO ,CA ,7,3,5090,101516,20781,20.470665
GLENN ,CA ,2,1,5100,4248,36,.84745765
HUMBOLDT ,CA ,3,0,5110,21660,96,.44321328
IMPERIAL ,CA ,7,1,5120,20897,377,1.8040867
INYO ,CA ,1,1,5130,3637,23,.63238931
KERN ,CA ,11,5,5140,86514,27307,31.563677
KINGS ,CA ,3,1,5150,12616,798,6.3253012
LAKE ,CA ,5,2,5160,13251,828,6.2485852
LASSEN ,CA ,1,1,5170,4243,38,.89559275
LOS ANGELES ,CA ,36,8,5200,1099158,365226,33.227798
MADERA ,CA ,4,2,5300,20470,4273,20.874451
MARIN ,CA ,6,2,5310,38936,12996,33.37785
MARIPOSA ,CA ,2,2,5320,3507,201,5.7313943
MENDOCINO ,CA ,4,1,5330,15682,367,2.3402627
MERCED ,CA ,4,1,5340,23627,408,1.726838
MODOC ,CA ,0,0,5350,1964,0,0
MONO ,CA ,1,1,5360,1152,14,1.2152778
MONTEREY ,CA ,4,1,5370,45816,410,.89488387
NAPA ,CA ,3,2,5380,23019,6718,29.184587
NEVADA ,CA ,5,4,5390,18037,1974,10.94417
ORANGE ,CA ,23,8,5400,333983,121790,36.465927
PLACER ,CA ,7,4,5410,47415,21558,45.466625
PLUMAS ,CA ,3,2,5420,4372,166,3.7968893
RIVERSIDE ,CA ,23,6,5430,241623,103398,42.79311
SACRAMENTO ,CA ,11,4,5440,174298,68762,39.450825
SAN BENITO ,CA ,2,2,5450,5227,190,3.6349723
SAN BERNARDINO ,CA ,21,9,5460,194264,83331,42.895752
SAN DIEGO ,CA ,20,3,5470,368302,141742,38.485264
SAN FRANCISCO ,CA ,8,4,5480,125493,38854,30.96109
SAN JOAQUIN ,CA ,7,1,5490,77668,15327,19.733995
SAN LUIS OBISPO ,CA ,5,1,5500,42102,4044,9.6052446
SAN MATEO ,CA ,6,4,5510,97981,32584,33.255428
SANTA BARBARA ,CA ,7,3,5520,58625,10417,17.768869
SANTA CLARA ,CA ,7,3,5530,190866,66680,34.935505
SANTA CRUZ ,CA ,5,2,5540,30255,4023,13.296976
SHASTA ,CA ,5,0,5550,36633,260,.70974261
SIERRA ,CA ,0,0,5560,698,0,0
SISKIYOU ,CA ,3,1,5570,10425,92,.88249403
SOLANO ,CA ,7,3,5580,47643,16889,35.44907
SONOMA ,CA ,5,3,5590,68048,20528,30.166941
STANISLAUS ,CA ,5,2,5600,62909,22208,35.301785
SUTTER ,CA ,3,1,5610,12666,308,2.4317069
TEHAMA ,CA ,2,1,5620,10388,109,1.0492877
TRINITY ,CA ,1,1,5630,3553,32,.90064734
TULARE ,CA ,6,2,5640,46298,1506,3.2528403
TUOLUMNE ,CA ,4,1,5650,12039,568,4.7179999
VENTURA ,CA ,12,3,5660,98577,22548,22.873489
YOLO ,CA ,7,5,5670,20464,7703,37.641712
YUBA ,CA ,3,1,5680,8913,409,4.5888028
ADAMS ,CO ,9,5,6000,40138,17446,43.465046
ALAMOSA ,CO ,2,2,6010,1982,170,8.5771952
ARAPAHOE ,CO ,10,3,6020,54156,18873,34.849323
ARCHULETA ,CO ,1,1,6030,1875,136,7.2533336
BACA ,CO ,0,0,6040,1052,0,0
BENT ,CO ,1,1,6050,925,14,1.5135136
BOULDER ,CO ,7,3,6060,34153,7503,21.968788
BROOMFIELD ,CO ,4,0,6630,1198,1943,162.18698
CHAFFEE ,CO ,1,1,6070,3390,211,6.2241888
CHEYENNE ,CO ,0,0,6080,333,0,0
CLEAR CREEK ,CO ,3,3,6090,638,241,37.774296
CONEJOS ,CO ,2,2,6100,1533,211,13.763862
COSTILLA ,CO ,2,2,6110,893,76,8.5106382
CROWLEY ,CO ,1,1,6120,662,22,3.3232629
CUSTER ,CO ,1,1,6130,840,39,4.6428571
DELTA ,CO ,2,2,6140,6578,1584,24.080267
DENVER ,CO ,11,5,6150,71778,25826,35.980385
DOLORES ,CO ,1,1,6160,408,15,3.6764705
DOUGLAS ,CO ,5,4,6170,8821,4421,50.119034
EAGLE ,CO ,1,1,6180,1992,130,6.5261045
EL PASO ,CO ,8,3,6200,61776,9305,15.062484
ELBERT ,CO ,3,3,6190,1679,396,23.585468
FREMONT ,CO ,4,2,6210,8566,678,7.9150128
GARFIELD ,CO ,2,1,6220,5126,534,10.41748
GILPIN ,CO ,2,2,6230,237,88,37.130802
GRAND ,CO ,2,2,6240,1263,48,3.8004751
GUNNISON ,CO ,0,0,6250,1163,0,0
HINSDALE ,CO ,0,0,6260,132,0,0
HUERFANO ,CO ,2,2,6270,1748,119,6.8077803
JACKSON ,CO ,0,0,6280,250,0,0
JEFFERSON ,CO ,11,4,6290,64969,29504,45.412426
KIOWA ,CO ,0,0,6300,344,0,0
KIT CARSON ,CO ,1,1,6310,1305,38,2.9118774
LA PLATA ,CO ,1,1,6330,5678,415,7.3089118
LAKE ,CO ,1,1,6320,677,29,4.2836041
LARIMER ,CO ,6,3,6340,32397,4122,12.7234
LAS ANIMAS ,CO ,3,3,6350,3261,270,8.2796688
LINCOLN ,CO ,1,1,6360,892,15,1.6816144
LOGAN ,CO ,1,1,6370,3543,95,2.6813436
MESA ,CO ,4,2,6380,23387,8019,34.28828
MINERAL ,CO ,1,1,6390,153,15,9.8039217
MOFFAT ,CO ,1,1,6400,1609,17,1.0565568
MONTEZUMA ,CO ,1,1,6410,4352,262,6.0202208
MONTROSE ,CO ,1,1,6420,6846,1481,21.63307
MORGAN ,CO ,2,1,6430,4084,64,1.5670911
OTERO ,CO ,2,2,6440,4210,229,5.4394298
OURAY ,CO ,1,1,6450,555,102,18.378378
PARK ,CO ,3,3,6460,1500,278,18.533333
PHILLIPS ,CO ,1,1,6470,967,12,1.2409514
PITKIN ,CO ,1,1,6480,1164,23,1.975945
PROWERS ,CO ,1,1,6490,2140,29,1.3551402
PUEBLO ,CO ,7,3,6500,27854,5468,19.630932
RIO BLANCO ,CO ,1,1,6510,874,151,17.276888
RIO GRANDE ,CO ,2,2,6520,2163,282,13.037448
ROUTT ,CO ,0,0,6530,1528,0,0
SAGUACHE ,CO ,2,2,6540,893,32,3.5834267
SAN JUAN ,CO ,0,0,6550,74,0,0
SAN MIGUEL ,CO ,1,1,6560,363,39,10.743802
SEDGWICK ,CO ,0,0,6570,659,0,0
SUMMIT ,CO ,1,1,6580,1404,63,4.4871793
TELLER ,CO ,3,2,6590,2688,382,14.211309
WASHINGTON ,CO ,0,0,6600,897,0,0
WELD ,CO ,7,2,6610,21912,2316,10.569551
YUMA ,CO ,1,1,6620,1667,28,1.679664
FAIRFIELD ,CT ,7,1,7000,127678,12801,10.026003
HARTFORD ,CT ,5,1,7010,144628,5279,3.650054
LITCHFIELD ,CT ,1,0,7020,31029,44,.14180283
MIDDLESEX ,CT ,1,0,7030,25611,34,.13275546
NEW HAVEN ,CT ,6,2,7040,135269,11300,8.3537245
NEW LONDON ,CT ,2,0,7050,41545,46,.11072331
TOLLAND ,CT ,1,0,7060,17595,35,.19892015
WINDHAM ,CT ,2,1,7070,17344,125,.72071034
DISTRICT OF COLUMBIA ,DC ,4,2,9000,77597,5478,7.0595512
KENT ,DE ,2,0,8000,21468,130,.60555243
NEW CASTLE ,DE ,6,1,8010,71811,610,.84945202
SUSSEX ,DE ,3,0,8020,38990,118,.30264169
ALACHUA ,FL ,0,0,10000,29968,0,0
BAKER ,FL ,1,1,10010,3220,289,8.9751549
BAY ,FL ,1,0,10020,27635,11,.039804596
BRADFORD ,FL ,0,0,10030,3779,0,0
BREVARD ,FL ,9,4,10040,110823,25616,23.114336
BROWARD ,FL ,35,8,10050,248637,106050,42.652542
CALHOUN ,FL ,0,0,10060,2294,0,0
CHARLOTTE ,FL ,7,1,10070,41290,3369,8.1593609
CITRUS ,FL ,3,0,10080,40087,83,.20704967
CLAY ,FL ,2,1,10090,20446,196,.95862269
COLLIER ,FL ,6,0,10100,59745,185,.30964935
COLUMBIA ,FL ,1,0,10110,11345,21,.18510357
DE SOTO ,FL ,0,0,10130,5189,0,0
DIXIE ,FL ,0,0,10140,3102,0,0
DUVAL ,FL ,7,2,10150,106738,8981,8.4140606
ESCAMBIA ,FL ,4,1,10160,50862,3123,6.1401439
FLAGLER ,FL ,3,2,10170,20064,4919,24.516546
FRANKLIN ,FL ,0,0,10180,1922,0,0
GADSDEN ,FL ,2,2,10190,7739,1131,14.614291
GILCHRIST ,FL ,0,0,10200,2760,0,0
GLADES ,FL ,1,1,10210,1100,46,4.181818
GULF ,FL ,0,0,10220,2883,0,0
HAMILTON ,FL ,0,0,10230,2166,0,0
HARDEE ,FL ,0,0,10240,3583,0,0
HENDRY ,FL ,1,0,10250,4385,21,.47890535
HERNANDO ,FL ,9,5,10260,46165,12467,27.005306
HIGHLANDS ,FL ,3,0,10270,27680,75,.27095374
HILLSBOROUGH ,FL ,16,5,10280,155348,39148,25.200195
HOLMES ,FL ,0,0,10290,4003,0,0
INDIAN RIVER ,FL ,4,2,10300,33911,1962,5.7857332
JACKSON ,FL ,0,0,10310,9692,0,0
JEFFERSON ,FL ,3,3,10320,2426,351,14.468261
LAFAYETTE ,FL ,0,0,10330,801,0,0
LAKE ,FL ,8,1,10340,86218,2106,2.4426453
LEE ,FL ,16,1,10350,115457,8365,7.2451215
LEON ,FL ,4,2,10360,25089,4864,19.386982
LEVY ,FL ,1,0,10370,7804,14,.17939518
LIBERTY ,FL ,0,0,10380,1026,0,0
MADISON ,FL ,0,0,10390,3544,0,0
MANATEE ,FL ,8,3,10400,59059,5547,9.3923025
MARION ,FL ,7,1,10410,81640,1099,1.3461539
MARTIN ,FL ,8,2,10420,35249,3245,9.2059345
MIAMI-DADE ,FL ,27,13,10120,347328,160716,46.27211
MONROE ,FL ,2,0,10430,11465,70,.61055386
NASSAU ,FL ,1,1,10440,10846,1178,10.861147
OKALOOSA ,FL ,2,0,10450,28374,63,.22203426
OKEECHOBEE ,FL ,3,2,10460,7612,679,8.920126
ORANGE ,FL ,13,3,10470,121306,20847,17.185465
OSCEOLA ,FL ,7,2,10480,31045,6104,19.661781
PALM BEACH ,FL ,29,6,10490,254676,68493,26.894171
PASCO ,FL ,11,5,10500,92419,30120,32.590702
PINELLAS ,FL ,17,5,10510,200313,48361,24.142717
POLK ,FL ,12,4,10520,101830,10207,10.023569
PUTNAM ,FL ,2,0,10530,15383,44,.28603002
SAINT JOHNS ,FL ,2,1,10540,26725,747,2.7951357
SAINT LUCIE ,FL ,9,3,10550,48306,5680,11.758373
SANTA ROSA ,FL ,2,1,10560,20183,1593,7.8927813
SARASOTA ,FL ,9,2,10570,111811,5517,4.9342194
SEMINOLE ,FL ,5,3,10580,45734,7685,16.80369
SUMTER ,FL ,4,0,10590,9131,75,.82137769
SUWANNEE ,FL ,1,0,10600,8374,18,.21495104
TAYLOR ,FL ,0,0,10610,3571,0,0
UNION ,FL ,0,0,10620,1474,0,0
VOLUSIA ,FL ,9,2,10630,110013,32753,29.771936
WAKULLA ,FL ,2,2,10640,4115,673,16.354799
WALTON ,FL ,0,0,10650,6754,0,0
WASHINGTON ,FL ,0,0,10660,4170,0,0
APPLING ,GA ,1,1,11000,2713,20,.73719132
ATKINSON ,GA ,0,0,11010,1159,0,0
BACON ,GA ,0,0,11011,1628,0,0
BAKER ,GA ,1,1,11020,389,11,2.8277636
BALDWIN ,GA ,2,1,11030,6760,144,2.1301775
BANKS ,GA ,2,2,11040,1811,37,2.0430701
BARROW ,GA ,3,2,11050,6834,178,2.604624
BARTOW ,GA ,4,2,11060,11279,288,2.5534179
BEN HILL ,GA ,0,0,11070,3072,0,0
BERRIEN ,GA ,0,0,11080,2938,0,0
BIBB ,GA ,2,1,11090,28147,185,.65726364
BLECKLEY ,GA ,0,0,11100,2021,0,0
BRANTLEY ,GA ,1,1,11110,2220,20,.9009009
BROOKS ,GA ,0,0,11120,2364,0,0
BRYAN ,GA ,1,1,11130,3143,33,1.0499523
BULLOCH ,GA ,1,0,11140,6424,26,.40473226
BURKE ,GA ,1,1,11150,3175,135,4.2519684
BUTTS ,GA ,2,2,11160,3605,75,2.0804439
CALHOUN ,GA ,0,0,11161,1226,0,0
CAMDEN ,GA ,2,1,11170,4240,48,1.1320754
CANDLER ,GA ,0,0,11180,1681,0,0
CARROLL ,GA ,2,1,11190,14652,122,.83265084
CATOOSA ,GA ,3,1,11200,6243,81,1.2974532
CHARLTON ,GA ,1,1,11210,1605,19,1.1838006
CHATHAM ,GA ,1,1,11220,35181,318,.90389699
CHATTAHOOCHEE ,GA ,1,1,11230,465,16,3.4408603
CHATTOOGA ,GA ,0,0,11240,4875,0,0
CHEROKEE ,GA ,3,2,11250,14559,1072,7.363143
CLARKE ,GA ,1,1,11260,11808,396,3.3536584
CLAY ,GA ,0,0,11270,600,0,0
CLAYTON ,GA ,5,2,11280,24963,1359,5.444057
CLINCH ,GA ,0,0,11281,1123,0,0
COBB ,GA ,7,2,11290,64964,3038,4.6764359
COFFEE ,GA ,1,0,11291,5501,16,.29085621
COLQUITT ,GA ,1,0,11300,6754,18,.26650873
COLUMBIA ,GA ,3,0,11310,11350,109,.96035242
COOK ,GA ,1,1,11311,2605,15,.57581574
COWETA ,GA ,3,2,11320,12007,558,4.6472893
CRAWFORD ,GA ,1,1,11330,983,44,4.4760938
CRISP ,GA ,1,1,11340,3730,20,.53619301
DADE ,GA ,0,0,11341,2800,0,0
DAWSON ,GA ,2,0,11350,2664,22,.82582581
DECATUR ,GA ,1,1,11360,4604,130,2.8236315
DEKALB ,GA ,8,3,11370,65121,3874,5.948926
DODGE ,GA ,0,0,11380,3300,0,0
DOOLY ,GA ,0,0,11381,1798,0,0
DOUGHERTY ,GA ,1,1,11390,15194,467,3.0735817
DOUGLAS ,GA ,4,2,11400,10575,448,4.2364068
EARLY ,GA ,1,1,11410,2092,40,1.9120458
EFFINGHAM ,GA ,2,1,11421,4433,63,1.4211595
ELBERT ,GA ,0,0,11430,4245,0,0
EMANUEL ,GA ,1,1,11440,4096,33,.80566406
EVANS ,GA ,1,1,11441,1807,14,.77476478
FANNIN ,GA ,2,1,11450,5034,43,.85419148
FAYETTE ,GA ,3,3,11451,11491,537,4.6732225
FLOYD ,GA ,2,0,11460,16347,91,.55667704
FORSYTH ,GA ,2,2,11461,9564,793,8.2915096
FRANKLIN ,GA ,1,0,11462,4615,19,.41170096
FULTON ,GA ,7,3,11470,78706,4471,5.680634
GILMER ,GA ,2,1,11471,4737,37,.78108507
GLYNN ,GA ,1,0,11490,12413,58,.46725208
GORDON ,GA ,1,0,11500,7187,22,.30610824
GRADY ,GA ,2,1,11510,3680,91,2.472826
GREENE ,GA ,2,1,11520,3098,143,4.6158814
GWINNETT ,GA ,7,2,11530,45007,3065,6.8100519
HABERSHAM ,GA ,2,1,11540,6818,60,.88002348
HALL ,GA ,4,3,11550,19691,589,2.9912143
HANCOCK ,GA ,0,0,11560,1625,0,0
HARALSON ,GA ,1,1,11570,4859,59,1.2142416
HARRIS ,GA ,1,1,11580,3306,87,2.6315789
HART ,GA ,1,1,11581,3759,20,.53205639
HEARD ,GA ,1,1,11590,1340,26,1.9402986
HENRY ,GA ,4,2,11591,14753,1021,6.9206262
HOUSTON ,GA ,1,1,11600,15036,126,.83798885
IRWIN ,GA ,0,0,11601,1383,0,0
JACKSON ,GA ,3,1,11610,7543,212,2.8105528
JASPER ,GA ,1,1,11611,1633,34,2.0820575
JEFF DAVIS ,GA ,1,1,11612,2245,15,.66815144
JEFFERSON ,GA ,1,1,11620,3244,125,3.8532677
JENKINS ,GA ,0,0,11630,1465,0,0
JOHNSON ,GA ,0,0,11640,1551,0,0
JONES ,GA ,2,2,11650,2296,114,4.965157
LAMAR ,GA ,1,1,11651,2649,53,2.0007551
LANIER ,GA ,0,0,11652,971,0,0
LAURENS ,GA ,1,1,11660,8126,62,.76298302
LEE ,GA ,1,1,11670,2170,43,1.9815668
LIBERTY ,GA ,1,1,11680,3993,43,1.0768845
LINCOLN ,GA ,0,0,11690,1486,0,0
LONG ,GA ,0,0,11691,783,0,0
LOWNDES ,GA ,1,0,11700,12604,36,.28562361
LUMPKIN ,GA ,2,1,11701,2898,38,1.3112491
MACON ,GA ,0,0,11710,2028,0,0
MADISON ,GA ,1,1,11720,4368,150,3.4340658
MARION ,GA ,1,1,11730,805,17,2.1118011
MCDUFFIE ,GA ,1,0,11702,3352,15,.44749403
MCINTOSH ,GA ,0,0,11703,1985,0,0
MERIWETHER ,GA ,2,1,11740,3625,145,4
MILLER ,GA ,1,1,11741,1167,43,3.6846616
MITCHELL ,GA ,1,1,11750,3568,178,4.9887891
MONROE ,GA ,1,1,11760,2973,38,1.2781702
MONTGOMERY ,GA ,0,0,11770,1384,0,0
MORGAN ,GA ,0,0,11771,2688,0,0
MURRAY ,GA ,1,0,11772,4680,12,.25641027
MUSCOGEE ,GA ,4,1,11780,27544,644,2.3380773
NEWTON ,GA ,3,1,11790,10626,175,1.6469039
OCONEE ,GA ,1,1,11800,3202,44,1.3741412
OGLETHORPE ,GA ,0,0,11801,1285,0,0
PAULDING ,GA ,4,2,11810,6714,269,4.0065536
PEACH ,GA ,1,1,11811,4463,55,1.2323549
PICKENS ,GA ,2,1,11812,4390,54,1.2300683
PIERCE ,GA ,1,1,11820,3073,23,.74845427
PIKE ,GA ,1,1,11821,2306,31,1.3443192
POLK ,GA ,2,0,11830,7285,36,.49416611
PULASKI ,GA ,0,0,11831,1775,0,0
PUTNAM ,GA ,1,1,11832,3385,19,.56129986
QUITMAN ,GA ,1,1,11833,398,12,3.0150754
RABUN ,GA ,1,0,11834,3270,11,.33639145
RANDOLPH ,GA ,1,1,11835,1400,46,3.2857144
RICHMOND ,GA ,4,1,11840,28746,405,1.4088917
ROCKDALE ,GA ,3,2,11841,8724,234,2.6822557
