countyname,state,numberofplans1,numberofplans2,countyssa,eligibles,totalenrollees,totalpenetration
HOPEWELL CITY ,VA ,0,0,49451,4389,0,0
ISLE OF WIGHT ,VA ,1,0,49460,4987,14,.28072989
JAMES CITY ,VA ,2,1,49470,3470,68,1.9596542
KING AND QUEEN ,VA ,0,0,49480,1195,0,0
KING GEORGE ,VA ,0,0,49490,2180,0,0
KING WILLIAM ,VA ,0,0,49500,2201,0,0
LANCASTER ,VA ,0,0,49510,3938,0,0
LEE ,VA ,2,2,49520,5511,600,10.887317
LEXINGTON CITY ,VA ,0,0,49522,3015,0,0
LOUDOUN ,VA ,1,1,49530,14703,785,5.3390465
LOUISA ,VA ,1,0,49540,4846,11,.22699133
LUNENBURG ,VA ,1,1,49550,2049,33,1.6105417
LYNCHBURG CITY ,VA ,2,1,49551,15483,166,1.0721437
MADISON ,VA ,0,0,49560,1998,0,0
MANASSAS CITY ,VA ,1,1,49563,8148,133,1.6323024
MANASSAS PARK CITY ,VA ,1,0,49565,0,73,0
MARTINSVILLE CITY ,VA ,1,0,49561,6833,27,.39514121
MATHEWS ,VA ,1,1,49570,2274,12,.52770448
MECKLENBURG ,VA ,1,1,49580,7512,75,.99840254
MIDDLESEX ,VA ,0,0,49590,2748,0,0
MONTGOMERY ,VA ,1,0,49600,9681,31,.32021487
NELSON ,VA ,2,1,49620,3525,44,1.248227
NEW KENT ,VA ,0,0,49621,2325,0,0
NEWPORT NEWS CITY ,VA ,6,1,49622,22905,480,2.0956123
NORFOLK CITY ,VA ,2,1,49641,28531,203,.71150678
NORTHAMPTON ,VA ,0,0,49650,3066,0,0
NORTHUMBERLAND ,VA ,0,0,49660,3296,0,0
NORTON CITY ,VA ,2,2,49661,1425,131,9.1929827
NOTTOWAY ,VA ,1,0,49670,3252,15,.46125463
ORANGE ,VA ,1,0,49680,6729,11,.16347153
PAGE ,VA ,1,0,49690,4594,11,.23944275
PATRICK ,VA ,1,1,49700,4273,27,.63187456
PETERSBURG CITY ,VA ,1,0,49701,7880,28,.35532996
PITTSYLVANIA ,VA ,3,2,49710,9089,119,1.3092749
POQUOSON CITY ,VA ,0,0,49712,853,0,0
PORTSMOUTH CITY ,VA ,2,1,49711,16323,136,.83318019
POWHATAN ,VA ,0,0,49720,3198,0,0
PRINCE EDWARD ,VA ,1,0,49730,3996,14,.35035035
PRINCE GEORGE ,VA ,0,0,49740,2756,0,0
PRINCE WILLIAM ,VA ,2,1,49750,17403,1483,8.5215197
PULASKI ,VA ,1,0,49770,6894,24,.3481288
RADFORD ,VA ,0,0,49771,2439,0,0
RAPPAHANNOCK ,VA ,0,0,49780,1625,0,0
RICHMOND ,VA ,1,1,49790,1764,14,.79365081
RICHMOND CITY ,VA ,4,1,49791,38393,301,.78399706
ROANOKE ,VA ,3,1,49800,7132,109,1.5283231
ROANOKE CITY ,VA ,3,0,49801,25006,182,.72782534
ROCKBRIDGE ,VA ,2,2,49810,2566,72,2.8059237
ROCKINGHAM ,VA ,2,1,49820,10076,67,.66494644
RUSSELL ,VA ,2,2,49830,6234,470,7.5393004
